County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
Adams,53001950100,44,12464,259.95,186.15,364.29,9
Adams,53001950200,29,8748,336.16,219.68,501.79,10
Adams,53001950300,30,36398,276.58,176.84,417.95,9
Adams,53001950400,30,15835,185.13,122.93,270.86,5
Adams,53001950500,18,26554,222.99,124.29,379.07,8
Asotin,53003960100,60,22712,166.26,125.74,226.45,4
Asotin,53003960200,77,24182,162.51,126.02,214.03,4
Asotin,53003960300,51,19031,177.78,131.3,241.55,5
Asotin,53003960400,45,11268,232.53,165.05,332.86,8
Asotin,53003960500,80,16930,202.51,157.05,268.13,7
Asotin,53003960600,57,17897,181.25,135.32,247.59,5
Benton,53005010100,46,22972,110.68,78.04,167.06,1
Benton,53005010201,45,26987,154.97,110.48,216.43,3
Benton,53005010202,91,33060,171.95,136.71,217.45,5
Benton,53005010300,71,27412,173.95,134.93,224.29,5
Benton,53005010400,39,18184,192.13,135.89,267.81,6
Benton,53005010500,54,15214,237.13,171.8,324.85,8
Benton,53005010600,56,21983,200.59,150.6,265.53,6
Benton,53005010701,16,11601,306.22 (NR),137.94 (NR),604.15 (NR),10
Benton,53005010703,30,16174,151.18,100.41,223.52,3
Benton,53005010705,28,28143,239.1,141.98,381.28,8
Benton,53005010707,19,16356,158.24,91.83,260.93,4
Benton,53005010708,30,20972,191.67,123.46,286.8,6
Benton,53005010803,76,43962,147.38,115.66,187.46,3
Benton,53005010805,56,33412,179.51,133.4,240.04,5
Benton,53005010807,10,6265,221.12 (NR),87.11 (NR),498.01 (NR),8
Benton,53005010809,65,32972,213.89,164.14,274.78,7
Benton,53005010810,79,26358,180.96,143.07,232.51,5
Benton,53005010811,23,23220,254.42,148.2,411.33,9
Benton,53005010813,149,69240,155.49,131.11,184.57,3
Benton,53005010814,13,21584,165.79 (NR),80.13 (NR),312.41 (NR),4
Benton,53005010901,89,31701,271.31,216.89,337.1,9
Benton,53005010902,49,25203,288.27,208.08,391.62,10
Benton,53005011001,90,25434,229.55,180.87,291.85,8
Benton,53005011002,43,23878,196.88,141.88,268.44,6
Benton,53005011100,98,38112,240.6,194.94,295.02,8
Benton,53005011200,69,42490,229.98,178.31,293.29,8
Benton,53005011300,48,25741,202.49,148.98,270.13,7
Benton,53005011401,44,20088,350.4,244.97,491.46,10
Benton,53005011402,57,26386,169.64,127.51,225.21,4
Benton,53005011501,73,34849,219.97,168.74,283.43,8
Benton,53005011503,157,54461,196.9,166.69,232.45,6
Benton,53005011504,20,15325,233.12,130.54,392.37,8
Benton,53005011600,14,5014,419.75 (NR),163.01 (NR),1048.54 (NR),10
Benton,53005011700,91,37482,178.44,142.84,222.25,5
Benton,53005011800,43,34745,183.16,129.31,254.45,5
Benton,53005011900,58,31915,179.94,134.23,237.65,5
Benton,53005012000,0,25,0 (NR),0 (NR),0 (NR),1
Chelan,53007960100,26,13048,160.63,103.26,247.18,4
Chelan,53007960200,79,35130,123.59,97.44,161.76,2
Chelan,53007960300,67,35869,119.9,91.39,158.2,1
Chelan,53007960400,38,22237,130.71,91.44,185.71,2
Chelan,53007960500,59,35473,135.56,102.05,178.74,2
Chelan,53007960600,54,20177,140.75,103.68,193.69,2
Chelan,53007960700,38,19449,142.54,99.86,213.47,3
Chelan,53007960801,44,14714,118.89,86.13,191.46,1
Chelan,53007960802,89,40058,131.43,104.86,165.78,2
Chelan,53007961000,43,33706,126.1,90.98,171.61,2
Chelan,53007961100,122,50381,189.02,155.25,229.11,6
Chelan,53007961200,33,21207,165.72,109.96,241.88,4
Chelan,53007961301,25,6662,148,85.73,292.03,3
Chelan,53007961302,152,40508,160.98,134.97,194.31,4
Clallam,53009000200,15,8809,238.8 (NR),121.82 (NR),476.75 (NR),8
Clallam,53009000300,61,24232,278.07,211.81,359.36,10
Clallam,53009000400,28,9204,259.95,166.25,395.92,9
Clallam,53009000600,69,18074,346.85,264.7,451.83,10
Clallam,53009000700,47,18305,236.4,170.17,323.04,8
Clallam,53009000800,78,21079,198.55,154.53,257.26,6
Clallam,53009000900,43,14424,172.56,122.17,245.36,5
Clallam,53009001000,20,12581,117.63,69.98,194.65,1
Clallam,53009001100,53,15229,153.49,111.7,217.17,3
Clallam,53009001200,93,19239,214.33,169.14,276.3,7
Clallam,53009001300,61,15765,203.64,154.67,274.88,7
Clallam,53009001400,79,24134,212.79,166.98,277.74,7
Clallam,53009001500,32,10867,296.35,195.75,435.39,10
Clallam,53009001600,64,16871,181.72,130.54,269.53,5
Clallam,53009001700,99,25055,157.78,119.89,213.68,4
Clallam,53009001800,36,14219,145.93,100.35,225.95,3
Clallam,53009001900,132,29719,138.2,110.21,189.92,2
Clallam,53009002000,206,28352,152.07,126.59,196.33,3
Clallam,53009002100,121,20010,221.04,170.02,290.4,8
Clallam,53009002300,86,22240,171.93,131.91,247.2,5
Clallam,53009940000,11,7153,162.93 (NR),80.03 (NR),360.08 (NR),4
Clallam,53009990100,0,0,0 (NR),0 (NR),0 (NR),1
Clark,53011040101,50,27884,206.33,148.33,282.28,7
Clark,53011040102,30,19625,139.92,91.25,210.09,2
Clark,53011040201,40,31912,123.02,85.03,176.74,2
Clark,53011040202,36,20657,151.55,103.26,221.2,3
Clark,53011040203,72,29402,237.31,184.03,304.22,8
Clark,53011040301,25,9311,163.97,105.57,298.52,4
Clark,53011040302,46,47632,90.3,65.54,122.22,1
